REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MEASURE_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,7.9,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,7.8,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,7.9,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.2,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.1,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.1,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.1,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.2,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.0,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.0,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.0,PS,Persons,6,Millions,Normal value,Public
BTN,Bhutan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.0,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,1.6,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,1.5,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,1.1,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,1.3,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,1.1,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,1.2,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,1.1,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,1.2,PS,Persons,6,Millions,Normal value,Public
BOL,Bolivia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,1.3,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.6,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.6,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.5,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.5,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.5,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.5,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.4,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.4,PS,Persons,6,Millions,Normal value,Public
BIH,Bosnia and Herzegovina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.4,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,1.4,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,1.4,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,1.4,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,1.4,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,1.4,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,1.4,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,1.5,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,1.5,PS,Persons,6,Millions,Normal value,Public
BWA,Botswana,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,1.5,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,58.9,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,57.1,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,56.6,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,43.5,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,65.3,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,55.5,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,50.9,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,45.4,PS,Persons,6,Millions,Normal value,Public
BRA,Brazil,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,44.8,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,3.7,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,3.0,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,2.8,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,2.4,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,2.4,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,1.9,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,1.7,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,1.6,PS,Persons,6,Millions,Normal value,Public
BGR,Bulgaria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,1.4,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,13.6,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,13.4,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,13.1,PS,Persons,6,Millions,Normal value,Public
